label,description,type
"Letter to S. V. Smolensky, 1898","Dear Stepan Vasilyevich!
 
 I beg you to answer me the following question. The artist Chaliapin would like to place his brother, who is 14 years old, in your school, who, I think it necessary to tell you, knows notes rather poorly, reads and writes rather poorly, but who, in my opinion, has an excellent musical ear and great talent.
 
 The motives that made Chaliapin look for a place for his brother with you are the following: firstly, the boy is too unprepared for any special musical institution; secondly, this boy, since he is quite spoiled, needs a closed institution where he [would have] constant supervision. Other closed institutions, such as, for example, a cadet corps, are completely unthinkable, because the Chaliapins are peasants. So, I beg you to inform me whether you find it possible to enroll little Chaliapin in your school this autumn? If you agree, the great Shalyapin and I will come to you for more detailed conversations.
 
 Sincerely yours, S. Rachmaninov
 
 P.S. I read your letter with the information about the English queen and me (what a connection!) with great pleasure and I thank you from the bottom of my heart for communicating them.
 
 © https://senar.ru/letters/131",Letter
"Letter to M. I. Tchaikovsky, 1898","I hope, dear Modest Ilyich, that this letter will find you still in Petersburg. I am writing to thank you, firstly, for the libretto you sent me, which I generally like very, very much and which I will dwell on. Secondly, I will ask you to fulfill one of my requests and, thirdly, I need your answer to some of my questions regarding the libretto.
 
 The request is as follows. I would like you to compose about thirty stanzas for me for the invisible choir in the prologue. Maybe not thirty, but still a certain number of words, which I would divide and assign to different groups of the choir to sing. In addition, I would like to give the seven stanzas of Virgil (which begin with the words ""My son"") to the choirs, changing, of course, everywhere the pronouns ""she, they"" to ""we"".
 
 Will you find this possible? I would very much like you to say yes, otherwise, not being satisfied with just one phrase in the libretto, that groans are heard, I will have to write a symphonic picture only for the orchestra, which is a little annoying, because I have choirs at my disposal, since I am writing an opera. Give me, for God's sake, these words, Modest Ilyich!
 
 Now a question. I would like to know where you got the content of the first and second acts? Did you work out the plot about Francesca yourself, who is well-known, or was the story of her life written by someone earlier? Then the foreign words that occur during the wedding itself? What do these words mean? Finally, I am such an ignoramus that I do not even know what language this is? Latin or Italian? Or neither? Perhaps these are some spiritual cants that were sung on certain occasions, or perhaps they are still sung? If so, they can be obtained. I will not say anything more for now. The entire second act is magnificent for music. If I recall anything else, I would like the third act not to end with the words of Anunzio and one female choir, but to end with a general ensemble or at least a mixed choir; and a few more words for Paolo and Francesca in the last act, but more about that later.
 
 For now, I will ask you to answer me only the first two questions, and again addressed to Gutheil.
 
 Yours faithfully, S. Rachmaninov
 
 © https://senar.ru/letters/132",Letter
"Letter to A. P. Chekhov, 1898","As soon as you get home, dear Anton Pavlovich, and read this note, go to the city garden, we are having lunch there and are waiting for you.
 
 Chaliapin, Rachmaninov, Mirov",Letter
"Letter to A. K. Glazunov, 1898","I am answering you very late, dear Alexander Konstantinovich; but since I do not live in Moscow, but only go there from the village where I settled, the forwarding of your letter and the symphony took a few extra days.
 
 The purpose of this letter is to thank you from the bottom of my heart for sending me this symphony and for the inscription on it. If you ever need to write me anything, address your letters to the old Moscow address. I am in Moscow once a week.
 
 Yours sincerely devoted to you, S. Rachmaninov
 
 © https://senar.ru/letters/134",Letter
"Letter to S. V. Smolensky, 1898","Dear Stepan Vasilyevich!
 
 I currently live in the countryside and visit Moscow only once a week, so your letter to me was forwarded, and this forwarding took a few extra days. That is why I am answering you so late. The purpose of my letter is to thank you from the bottom of my heart for the invitation you sent. I am very sorry that I could not be at your home concert and listen to the entire interesting program that you had scheduled for performance.
 
 Sincerely yours, S. Rachmaninov
 
 My address: Moscow-Yaroslavl Railway. Arsaki Station. Putyatino Estate. T. S. Lyubatovich. S. V. Rachmaninov.
 
 © https://senar.ru/letters/135",Letter
"Letter to A. V. Zatayevich, 1898","Your request, dear friend Alexander Viktorovich, in your last letter, I could not fulfill. Moreover, your request is illegal. The publisher undertakes to give the author, if he receives a fee, five copies free of charge when publishing a work. The publisher sent you, as someone who did not receive a fee, ten copies. More cannot be demanded from him. I am surprised that he himself, without anyone's request, sent you such a number. In any case, this should be discussed when concluding the terms. Since I concluded the terms, it is either my fault that I did not foresee this or forgot about it - or yours that you did not warn me about it. Be that as it may, all you can do now is come to terms with it. When you write something new, and I am convinced that you will, then we will take this issue into account. So, when will I receive these new things of yours?
 
 I don’t know if you know that I have settled in the village, where I intend to spend the entire winter, in order to live and work in peace, since it is completely impossible to have and do this in Moscow. Besides, the doctor advised me, or rather prescribed this village life. Not long before this time, I was ill and even went to the Crimea to recover a little. Now I live in the village. I started to exercise a little and have gained a lot of weight. I live completely alone. However, I have three big friends with me. All three are huge St. Bernards. I talk with them, and I don’t feel scared to live and walk in the forests around me with them. Once a week I go to Moscow to see my people, to show myself off and, by the way, to give a few lessons. I haven’t written anything yet, but, with God’s help, I hope to do so. I will let you know what I write. That’s all I can tell you about myself.
 
 Goodbye until my next letter. If you need to tell me anything, address your letters to the old address or to Gutheil.
 
 I shake your hand firmly.
 
 S. Rachmaninov
 
 P.S. I congratulate you with all my heart on the addition of your family. I would also sincerely wish that with each addition to your family, you would add several new opuses to your musical compositions.
 
 © https://senar.ru/letters/136",Letter
"Letter to N. D. Skalon, 1898","I want to thank you, dear Tatusha, for your unexpected desire to say a kind word to me.
 
 To your question, where am I? — I will answer: in the village; but tomorrow, at the doctor's request, I am leaving for a whole month, unfortunately, to Moscow. I have been ordered to be treated with water and to give myself daily injections of arsenic.
 
 To your questions, what am I? — I will answer: nothing! The answer to the question about how I am living will be: bad.
 
 In conclusion, I will sign, just like you, as your old friend.
 
 S. Rachmaninov
 
 © https://senar.ru/letters/137",Letter
"Letter to V. I. Rebikov, 1898","[Autumn 1898]
 Dear Mr. Rebikov.
 
 I [ask] you to contact K. A. Gutheil (Music shop, Kuznetsky Most), who will send you my card and some information about me.
 
 I can only thank you and the Society from the bottom of my heart for wanting to play something of mine.
 
 I shake your hand.
 
 Yours faithfully, S. Rachmaninov
 
 © https://senar.ru/letters/138",Letter
"Letter to M. I. Tchaikovsky, 1899","Dear Modest Ilyich.
  
  Although I feel much better now, I still work little, and somehow I can't work. As unpleasant as it is, I must say that I still have not finished my work for London. Until it is finished, I cannot do anything else. I will also postpone my visit to you until then. I continue to think that it will be soon.
  
  Yours faithfully, S. Rachmaninov
  
  © senar.ru · @
  © https://senar.ru/letters/139",Letter
"Letter to A. V. Zataevich, 1899","I was very glad to receive your letter and your things, my dear friend Alexander Viktorovich. I especially thank you for the dedication and for the inscription that touched me. Of course, I am not angry with you at all, and I have no right to be, because I myself have been guilty of this before you more than once. It seems that you and I are both terribly lazy with letters. Let us not take them for granted. We maintain our correspondence as much as our laziness allows us to - our relations are still excellent and... thank God. Let us agree once and for all not to be angry with each other. This time, however, my letter will be short, not because of laziness. I am really very busy now, because at the end of March I am leaving for London, where I play and conduct. Besides, I have about 15 letters to answer. Just like you, I carry them in my pocket and every day, when I go to bed and take these letters out to put them on the night table, I feel a strong pang of conscience.
  
  I, just like you, have not written anything new. Either we both have no time or we are too lazy for musical letters.
  
  Goodbye for now. I shake your hand. Give your wife my regards and gratitude for the greeting. By the way, ask her, as a third party, if she does not find that you and I are somewhat similar to each other?
  
  S. Rachmaninov
  
  © https://senar.ru/letters/140",Letter
"Letter to L. D. Skalon, 1899","Dear Lelya! I am fulfilling my long-standing promise and sending you my card. Forgive me if it is late.
  
  Be healthy.
  
  S. Rachmaninov",Letter
"Letter to L. D. Skalon, 1899","""Old Doggie"" is very grateful to you, dear Lelya, for your nice, long letter. He regrets that he cannot answer you in kind, since he still has a lot of troubles and things to do on the occasion of his departure today to London. ""Old Doggie"" does not like to serve, and here he is even more upset that this service drives him God knows where, and thereby at least prevents him from maintaining his old friendship with Lelyusha, who is pleasant to his old heart.
  
  Vieux chien
  
  © https://senar.ru/letters/142",Letter
"Letter to A. S. Arensky, 1899","Dear Anton Stepanovich!
  
  Yesterday I received your letter, where you inform me that ""Aleko"" is supposed to be staged in the Tauride Palace. Of course, there are no obstacles on my part and there cannot be any. I am very happy and do not know who to thank for this desire and decision to stage my opera. I only regret that I did not find out about this earlier. It seems to me that for such a celebration I could have written something more worthy of staging than ""Aleko"", which I have already begun to forbid to be staged on stages. After all, here I am counting on a good performance and I want to think that this will smooth me over a little.
  
  I cannot appoint or recommend anyone for solo parts, because I know very few or no Petersburg singers. I want to ask you about this. Of course, you know them all, and therefore you can tell me which role suits whom. Be so kind, Anton Stepanovich, - do me this favor. Needless to say, of course, that I approve of your choice in advance and am pleased with it.
  
  The first moment I read your letter, it occurred to me that I would not find anyone better than Zemfira - Sionitskaya and Shalyapin - Aleko. But will they agree? Be that as it may, but I ask you to wait five or six days to appoint someone for these roles, when I will tell you the results.
  
  When will the rehearsals begin? Let me know, please. Where will they be? Which choir will sing? Forgive me for bombarding you with questions, but I am very interested in all this. Goodbye for now.
  
  Sincerely devoted to you, Yours
  
  S. Rachmaninov
  
  © https://senar.ru/letters/143",Letter
"Letter to N. D. Skalon, 1899","In my opinion, dear Tatusha, you and I are now approaching the fourth and at the same time the last period of our personal relations. About nine years ago, you and I first met and became acquainted. Before we had time to get to know each other well, we had already become friends. This was the first period: our friendship No. 1. We thought then that this friendship would never end and... as always, we were wrong.
  
  In order for friendly relations to exist for a long time and go smoothly, you need to have, as Goncharov says, a lot of heart and worldly logic, to be satisfied with wealth and not constantly prick each other with your shortcomings. We had enough heart, but we had no logic at all, and where could we get it from? ""We were young then,"" we got excited. We forgot to think about Goncharov then, or maybe we had not read him yet, and began to ""prick"" each other. This ""tingling"" spoiled, ""hurt"" (isn't it written poetically?) our friendship.
  
  Here our first period ended and the second began. I will call this second period the period of mutual cooling and will not describe it for long. Whatever I did, you found wrong and constantly scolded me, but I, in relation to you, of course, adhered to the same program. The only difference was that you scolded me in Petersburg, and I you in Moscow. The difference, I must admit, is small, and not relevant.
  
  Now, to be precise, I must add to my horror that this period No. 2 lasted much longer than the others. For six or seven years, we would probably have completely lost acquaintance, if we had not been connected by the same related family. And besides, the severity of our mutual cooling has weakened and subsided during this period - and we have aged greatly: we are no longer hot-blooded and pronounce the verb ""to love"" in the past tense.
  
  And so, thanks to all this, we have only recently approached the third period, which I will call the period of mutual concessions on account of the memory of the former friendship. There is absolutely nothing to say about this period, because it leads, in my opinion, immediately or rather quickly to the fourth and final period, namely, the period of friendship No. 2. I repeat that, in my opinion, this is so. Doesn't your sweet letter to me prove this? Doesn't your phrase that you seem to love me as before also prove this? And the fact that you were very sorry to leave Petersburg a few hours before my arrival there and your assumption, in which you were not mistaken, that I regretted it too - isn't this, so to speak, the first timid impulse towards our new, renewed and now true friendship No. 2. Oh! I have no doubt about it, at least at this moment... But what if this confidence is built on mistake? What then? Of course, there is a new friendship, but will it last long again?
  
  The thought that new and new periods will follow ad infinitum is downright capable of killing me. Again, then to figure out who is right, who is guilty; again, love, cooling, tingling, cursing, etc., etc. will follow in turn... I'd better not think about it. For now, I rejoice in your joys and cry over your tears and sorrows. It seems to me that I am your friend to the grave and that now, thank God, we are at the shore.
  
  S. Rachmaninov
  
  © https://senar.ru/letters/144",Letter
"Letter to N. D. Skalon, 1899","Three days ago I received your letter, dear Tatusha, and I won’t hide it from you, I would never have guessed its contents if I hadn’t read it. I won’t analyze its contents. You probably think about this story too much as it is to mention it to you again; and it’s hard to talk about it; and, finally, you yourself have analyzed it down to the last detail, of course. I won’t console you either, because I don’t know how. You’ve probably noticed yourself that egoists are not consolers. I’ll only tell you that I will never allow myself to call your story “banal” and that I sympathize with your grief as much as I can and know how...
  
  So, I won’t talk about that, but I want to talk to you about your second story, fortunately it’s much more comforting. You know, Tatusha, I was very sorry when I read that you left Reichenhall. For some reason it still seems to me that this “second story” would have ended very well for you. As far as I can judge you and as far as I understand you, it seems to me that your heart is overflowing with love and is only looking for a convenient opportunity to speak out. Even if your feeling is rejected now, as you write, your love is only offended by this, and in no way diminished, and your current grief will only be lasting if you do not find some other person to whom you will transfer all your love, and with whom you will be just as happy or just as unhappy (it all depends not on you, but on him), as with the first person. In general, I want to say that your personal love will not change from the change, only your name will change. In my opinion, you, Skalon sisters, are the kind of people to whom happiness may not be given, but who will always be able to make it. And so I say that it seems to me that this person, with whom you would be able to live well, remained in Reichenhall. Forgive me if I have made a mistake in describing you. But I positively assert that your decision to go to Bayreuth to see Wagnerian operas will bring you great consolation, not to mention the fact that it is a great pleasure and entertainment. Yes! You are right! Art never betrays - at least those who love it, and I am the only exception to this rule. There was some misunderstanding between us, but I think that, God willing, art will soon take pity on me too and send me again those blessings that come from agreeing with it.
  
  Of course, I will be very glad to receive a letter from you from Bayreuth.
  
  Yours faithfully, S. Rachmaninov
  
  © https://senar.ru/letters/145",Letter
"Letter to M. A. Slonov, 1899","Dear friend Mikhail Akimovich!
  
  I have been meaning to answer your letter for a long time, but, as usual, these preparations have been going on for almost three weeks now. Please forgive me, and believe me that I was pleased to receive your letter and learn about your pastime. I was especially happy for you when I learned that you had been to the Caucasus and had seen the Georgian road. I think that after the Caucasus it is very difficult for you to live in Moscow. I don’t know how it is there, but here for the last twenty days the daytime temperature has not been below 40 degrees and has reached, as for example, the third day, 48. Such a temperature can drive anyone to despair and makes our entire local society useless. For some, who have a stronger and healthier nature, the heat has a soporific effect; for others, who are fatter, it is depressing (75% of our society is fat); on others, who have a nervous, impatient, capricious character, like the author of these lines, for example, this heat has a downright embittering effect. My ""Levka"" must be set completely apart. This one is a real sufferer. All day long he puffs like a steam engine, can't find a place for himself anywhere, pesters me terribly and irritates the third category described above even more. By the way, about ""Levka"". To my great chagrin, he is not growing at all. He has remained the same as I took him from Moscow two and a half months ago. For ten months his growth was satisfactory, but for a year his growth is no good. There is no point in thinking about an exhibition. He will fail there, like Trubetskoy with his ""Melusina""... Speaking of ""Melusina"", I remembered ""Aleko"", about the production of which I did not write to you; Yes, I think it is too late now because Gutheil has probably told you all the details. I can only add that Aleko sang magnificently from the first to the last note. The orchestra and choir were magnificent. The soloists were magnificent, not counting Chaliapin, before whom they all, like the others, constantly turned pale. He was three heads above them. By the way, I can still hear him sobbing at the end of the opera. Only a great artist on stage or a person who has suffered as much grief in ordinary life as Aleko can sob like that. In general, I got great pleasure from this whole trip, if you don’t count the fact that I spent a lot of money, which I had to borrow, of course. What else can I write to you? Perhaps only that, just like my financial affairs, my musical affairs are going very badly.
  
  Now I shake your hand and say “goodbye”. Give my regards to Maria Vasilievna.
  
  Yours S. Rachmaninov
  
  © https://senar.ru/letters/146",Letter
"Letter to N. D. Skalon, 1899","I want to write you at least a few lines, dear Tatusha, in order to try to elicit your answer, which, thanks to the friendly truce concluded between us not long ago, touches and interests me very much. Well, how do you feel now that you have returned to Petersburg? How are your affairs going? You, of course, understand what affairs I am asking you about! All people, the whole universe, always and everywhere have only three kinds of affairs: matters of the heart, money and business, and each of these kinds occupies the whole person in turn. However, there are many variations here, it is impossible to recount them all. The only thing that can be said with certainty is that when a person is occupied at the same time by two of the above-mentioned kinds of affairs, then one of these kinds cannot be a matter of the heart, because these affairs only interfere with all other affairs. The entire beautiful half of the human race is occupied for the most part all their lives with that kind of affairs which does not tolerate, as I just wrote, the interference of anything outside. So, I am asking you, how are your affairs of the heart going? As for me, all my affairs and thoughts are second-rate. I only think about: ""How can I get it?"" ""Where can I get it?"" And less often - ""How can I give it?"" You, probably, think the same way: ""What is he? Will he come? What will he say?"" and very often: ""Isn't it a sin for him to act like this?"" However, I do not claim, of course, that you think so, but I positively claim that my thoughts are expressed correctly. And having communicated them to you, I have almost nothing more to say about myself. As always in the summer, I have gained a lot of weight, and at the end of September, as always, I am planning to leave for Moscow.
  
  So, I am impatiently awaiting your answer.
  
  Sincerely yours, S. Rachmaninov
  
  © https://senar.ru/letters/147",Letter
"Letter to Yu. D. Engel, 1899","I have forgotten your name and patronymic, and therefore please forgive me for beginning this letter to you without a proper introduction...
  
  The attached biography is taken from a London newspaper. I could not find anything longer about myself. If this is not enough, which may well be the case, then let me know, and I will try to add something else from myself. Just mark, please, those questions that I must answer in more detail.
  
  Yours sincerely, S. Rachmaninov
  
  My address: Arbat, Serebryany Pereulok, Pogozheva's house, apartment 4.
  
  © https://senar.ru/letters/148",Letter
"Letter to A. A. Sanin, 1900","Dear Alexander Akimovich!
  
  I am bothering you with another request. Instead of one ticket that I asked you to leave yesterday for ""The Drowned Bell"", I kindly ask you to write down 4 tickets. Moreover, two tickets will be priced from 1 [ruble] 50 kopecks to 2 rubles and the other two will be no more than 1 ruble 20 kopecks (below). I will send for them to the box office three days before the performance with my card.
  
  I shake your hand firmly.
  
  Yours, S. Rachmaninov
  
  © https://senar.ru/letters/149",Letter
"Letter to A. B. Goldenweiser, 1900","Dear friend Alexander Borisovich!
  
  Tomorrow, February 1st, at nine o'clock in the evening, Princess Lieven is dragging me to L. N. Tolstoy. I resisted because I was afraid. However, Lieven informed me about our visit and I can't not go. Be a friend, come to Tolstoy too and, with your presence, encourage me. Everything will be easier. Be a real ""Tolstoyan"" and lend a helping hand to a comrade.
  
  S. Rachmaninov
  
  Let me know about your decision.
  
  © https://senar.ru/letters/150",Letter
"Letter to A. B. Goldenweiser, 1900","Dear Alexander Borisovich!
  
  Unfortunately, I couldn't come yesterday. I am sending you 6 tickets, as you asked, and Grieg, who is not suitable.
  
  I kindly ask you to watch Saint-Saëns' Scherzo for 2 pianos in E major today. I was told that it is very beautiful and suitable. If you can, let me know today about your impression. If you can't, tell my messenger about it right now. There is little time left before the concert. Just in case, I ask you to also watch, i.e. learn, Arensky's Suite.
  
  Yours, S. Rachmaninov
  
  © https://senar.ru/letters/151",Letter
"Letter to A. A. Liventsova, 1900","Dear Alevtina Aleksandrovna, I am giving you my last tickets: 7 tickets for 2 rubles 10 [kopecks] and 2 tickets for 1 ruble and 10 kopecks. All tickets for the choirs are sold out (not only from me, but also in stores; as well as for 2 rubles and 3 rubles).
  
  I regret that you did not notify me earlier.
  
  Yours faithfully, S. Rachmaninov
  
  © https://senar.ru/letters/152",Letter
"Letter to Chancellary of the Moscow Conservatory, 1900","I hasten to respond with the liveliest consent to the request expressed to me by the Chairman and elders of the Foundation to include one of my works in the collection published for the benefit of widows and orphans of deceased members of the Foundation. I will try to deliver the manuscript in a few days.
  
  S. Rachmaninov
  
  © https://senar.ru/letters/153",Letter
"Letter to S. V. Smolensky, 1900","Dear Stepan Vasilyevich!
  
  To my regret, I can't get to you again today. I just received a letter asking me to change my lesson today from four o'clock to one o'clock. Before leaving, I will definitely come to you.
  
  Yours faithfully, S. Rachmaninov
  
  © https://senar.ru/letters/154",Letter
"Letter to N. D. Skalon, 1900","I want to write you a few lines, dear Tatusha, to thank you for your letter and for your invitation, which I may take advantage of. I will also ask you to apologize to your father for me. When he was in Moscow, he asked me to look after a piano for him, which he wanted to buy for Luchino. I promised and remembered this promise only on the eve of my departure, when I could no longer do anything. It is good that I saw your sister Vera, whom I asked to go to a store where she could talk about buying a piano on my behalf. How her conversation ended, I do not know, of course.
  
  So, please apologize for me. I beg you very much! I will certainly write to you, dear Tatusha, and certainly on such letters with the views that you ask me about.
  
  Then goodbye. I kiss your hands warmly and wish you all the best with all my heart. I hope that you will write!
  
  Yours S. R.
  
  I am healthy. I live quietly and calmly, and this is rather boring.
  
  © https://senar.ru/letters/155",Letter
"Letter to M. A. Slonov, 1900","Dear friend Mikhail Akimovich!
  
  Your letter arrived yesterday. I was very glad to receive it, and also to learn that you have settled in well, that it is beautiful, comfortable, and fun. I would gladly accept your invitation, if it were possible. But it is inconvenient for me. Now I do not want to be interrupted by my studies, and in June, on my way abroad, I would have to make a big detour to get to you, and this is because I have changed my route, i.e. I am not going through Constantinople because of the plague quarantine (which I have already informed Fedya about), but I am going through Odessa and Warsaw. It seems that A. Chekhov is going with me, at least he agreed. Thus, Batumi is not on the way at all. And I repeat, I am very sorry about this, because I would gladly live with you with you. Somehow until another time. There is almost nothing to write about myself. I am not studying very much, but I am careful. I live a quiet and peaceful life - and it's quite boring. I meet a lot of friends in the city garden and on the embankment, but I rarely go to sit with them. Mostly at home, and in my room. You see how boring and uninteresting it all is.
  
  Give my regards to all of you and my gratitude for the invitation. I especially wish Anna Timofeevna to gain more strength and impressions for new and new stories, for our consolation.
  
  I hug you tightly. Write to me, please.
  
  S. Rachmaninov
  
  © https://senar.ru/letters/156",Letter
"Letter to N. S. Morozov, 1900","Arrived here on the 11th, Nikita Semyonovich! If I haven't sat down to answer you right away, it's only because we have total chaos here at home. Today I at least know my room, and I got myself some paper and ink, and thank God for that! Otherwise, they're running around, rearranging, cleaning, and raising dust, and the heat itself. It's just a disaster! At the moment, my room is locked. I'm not used to such disorder!.. I have two things to tell you. First, that I deeply regret coming here and not with you. And second, that I won't go to Paris, since I spent more money on the trip than I expected. And in the end, it's just sadness again. Maybe you'll stop by here? And even then, it's unlikely, because you don't like to change what you've already decided. Well, then, goodbye! I shake your hand.
  
  Yours S. Rachmaninov
  
  Just in case, my address: Italy. Varazze. Province of Genoa. Maison Lunelli. Monsieur Serge Rachmaninov.
  
  © https://senar.ru/letters/157",Letter
"Letter to M. I. Tchaikovsky, 1900","Dear Modest Ilyich!
  
  Your letter did not find me in Crimea, but it was forwarded to me here, in Italy. Today I received it and I hasten to answer you. Two years have passed since I was with you in Klin, and in these two years, except for one romance, I have not composed a single note. In general, I have lost this ability to compose completely, apparently, and all my thoughts are directed towards returning it. To be honest, I wanted to try to write Francesca again this summer, hoping that maybe now something will come of it, and that is why I want to ask you, if you think it possible, to write to your candidate, well, at least that Rachmaninov is now abroad and that you will give an answer regarding Francesca upon his return, i.e. in September, when I undertake, in the event that I again fail, to abandon the subject.
  
  If this is impossible, then tell me, and I will send you the libretto right now. Although you did not work on this libretto specifically for me, I certainly do not dare to risk leaving you without a composer for it again.
  
  Yours faithfully, S. Rachmaninov
  
  My address: Italia. Varazze.
  
  Provincia di Genova. Maison Lunelli.
  
  © https://senar.ru/letters/158",Letter
"Letter to N. S. Morozov, 1900","In our time it's June 22, and in yours it seems to be the 5th.
  
  I was very glad to receive your letter, dear friend Nikita Semyonovich, and not only am I not angry at your ""admonitions,"" as you say, but I am very grateful to you for them. All this always has an invigorating effect on me. I lived here for another ten days after my first letter to you, and I continue to express regret that I did not go with you. The kind of home regime that exists here is not for me, and not according to my habits. Undoubtedly, I made a mistake! Although I have a separate room, there is sometimes such a shouting and noise around it that you can only encounter it in a house like ours. ""General Kheraskov"" himself is not here yet. He has not arrived yet. He is stuck in Paris, where he is intensively engaged, it seems, in the women's question. In knowledgeable circles they say that it is unlikely that the ""General"" will resolve this issue soon, firstly because of its complexity, and secondly because it is raised in Paris, where this issue is of more interest than any other. He shoots out rare telegrams from there, in which he speaks vaguely about his arrival. With his arrival, I will, of course, be happier... I have decided not to go to you now. I want to continue to study carefully. And I ask you to write to me at least occasionally, especially from Paris, where, it seems, you will soon go. Also let me know your address from there, just in case. Maybe I will come to you there, especially if ""Kheraskov"" is there.
  
  Thank you for sending me a card with a view, looking at which, I can say with certainty that yours is much more beautiful there than ours.
  
  Goodbye!
  
  Yours S. Rachmaninov
  
  P.S. In the art (Russian) department, at the Paris exhibition there is a painting by the young artist Malyavin. It is called something like ""The Laughing Woman"". In Crimea it was praised terribly. Please pay attention to it, and let me know your impressions.
  
  © https://senar.ru/letters/159",Letter
"Letter to M. I. Tchaikovsky, 1900","Dear Modest Ilyich.
  
  Thank you very much for your letter and for allowing me to keep your libretto for now. So, in September I will give a positive answer. I am leaving here soon. Just in case, I am writing you my address: Voronezh province, Krasnenkaya post station.
  
  Yours sincerely, S. Rachmaninov
  
  © https://senar.ru/letters/160",Letter
"Letter to N. D. Skalon, 1900","Dear Tatusha, thank you for your letter and ask you to excuse my late reply. There are many reasons for this - I can't tell you all of them. I also don't want to describe my impressions of my trip to you, it's hard to do on paper. I'm putting off talking about this until our meeting.
  
  For now I'll tell you that I won't be here long now, at least I think I'll leave no later than the 20th. I'm leaving here (I don't want to hide it) with great pleasure. I'm bored without Russians and Russia. I've seen that traveling alone is still possible, perhaps, abroad; but living alone, without a family, or without people replacing it, is hard.
  
  So, in about two weeks I'll be in Russia. I won't go to Paris or Oberammergau... Thank you for your invitation. I regret that I can't take advantage of it, since I've already promised Kreutzer that I'll come to them. As for our meeting, which I mentioned on the first page, I think it will take place in Ivanovka, where I am thinking of coming for a few days either now or in August.
  
  If you want to please me with your letter, then write from the 20th to the address Kreutzer: Voronezh province, Krasnenkaya post station, Sergei Vasilievich Rachmaninov.
  
  Goodbye.
  
  Sincerely devoted S. Rachmaninov
  
  © https://senar.ru/letters/161",Letter
"Letter to E. Yu. Kreutzer, 1900","Dear Elena Yulievna!
  
  Yesterday I received your letter from Vienna and I hasten to thank you and your parents with all my heart for the invitation expressed in it. So, if it is possible, I will be in Krasnenkoye on the 25th or 26th of July. I will fix my date precisely by telegram from Moscow, where I will have to spend two days. Will that not be too early? I am always afraid that I will disturb someone; and meanwhile, I, just like you, judging by your letter, am very eager to leave here as soon as possible. In order to be completely annoying, I will allow myself to address a request to Yuli Ivanovich, which I will ask you to convey to him. The matter is this. Could Yuli Ivanovich write to Voronezh to have a piano sent to me before my arrival? I agree to take any that is available in the store. The only thing I would like is for the piano to have a moderator, and if there isn't one, then it's fine without one. Finally, maybe last year's instrument is still in the store. I'll be glad to have it. I'll be very grateful to Yuliy Ivanovich if he's so kind as to arrange this for me. I also apologize to him for disturbing me.
  
  Goodbye! Please accept my best wishes.
  
  Yours sincerely, S. Rachmaninov
  
  P.S. Please, Elena Yulievna, tell the post office to bring all letters addressed to me to you. Today, I've already given your address in two letters.
  
  © https://senar.ru/letters/162",Letter
"Letter to N. S. Morozov, 1900","Dear friend Nikita Semenovich, tomorrow I am leaving here for Russia and nowhere else. I am sick of life here, and it is impossible to work, even if only because of the heat. I am writing to you now to tell you my summer address, where I will be waiting for a letter from you with a description, once again, of the exhibition. I am leaving here with delight and with the firm intention of doing a lot of work upon returning home.
  
  Yours, S. Rachmaninov
  
  My address: Voronezh province, Krasnenkaya post station. To S. V. Rachmaninov.
  
  © https://senar.ru/letters/163",Letter
"Letter to N. D. Skalon, 1900","Yesterday I received your letter, dear Tatusha, and today I am already answering it. You must admit that this is, at the very least, neat! Let's say I won't be verbose, or rather, I can't be because I am busy. I just want to tell you that I was glad to read your letter, firstly, and secondly, I want to tell you that in a week I am going to be in Ivanovka, where I will be waiting for your written instructions regarding where and when our meeting should take place. I expect to stay in Ivanovka for about a week.
  
  I will be sincerely glad to see you.
  
  Yours, S. Rachmaninov
  
  © https://senar.ru/letters/164",Letter
"Letter to E. Yu. Kreutzer, 1900","I have calculated now that when I return I will not find Maria Alexandrovna and Yura. Please convey to them, Elena Yulievna, my heartfelt greetings and, once again, my gratitude for their friendly service. I wanted to stop by to see them now, but I was afraid of being late.
  
  S. Rachmaninov
  
  I also took someone else's umbrella instead of mine. I hesitated for a long time now whether to keep it or return it. I decided to keep it and, in turn, give my umbrella to the one from whom I stole this one.
  
  The train, of course, was late.
  
  © https://senar.ru/letters/165",Letter
"Letter to S. M. Remezov, 1900","Dear Sergey Mikhailovich.
  
  I kindly ask you to order a certificate to be sent from the office of the Mariinsky School to the Duma stating that I am still a teacher at the said school. This certificate must be in the Duma no later than October 1st. For God's sake, fulfill my request!
  
  Yours sincerely, S. Rachmaninov
  
  © https://senar.ru/letters/166",Letter
"Letter to L. D. Skalon, 1900","Dear Lelya, I was very glad to learn from your letter that you are a bride.
  
  Please accept my heartfelt congratulations and sincere wishes for your happiness.
  
  S. Rachmaninov",Letter
